The project's completion depends on the weather conditions.	La finalización del proyecto depende de las condiciones climáticas.	"
**La**: Article, feminine singular; meaning ""the"".

**Finalización**: Noun, feminine; meaning ""completion""; from finalizar which means to finish or end. 

**Del**: contraction, decomposed as ""de"" and ""el"", meaning ""of the""; from Latin ""de"" indicating derivation, separation, origin, etc. and ""il(le),"" Latin for that. 

**Proyecto**: Noun, masculine; meaning ""project"".

**Depende de**: Verb, 3rd person singular of verb ""depend"" in present tense and preposition; meaning ""depends on""; from Latin ""dependēre,"" comprised of Latin 'de-' meaning 'down' + 'pendēre' meaning 'hang'.

**Las**: Article, feminine plural; meaning ""the"".

**Condiciones**: Plural noun, feminine; meaning ""conditions""; it is the plural of ""condición,"" from the Latin ""condicio.""

**Climáticas**: Adjective, feminine plural; meaning ""weather"" (when paired with conditions) or ""climatic""; from ""clima,"" meaning climate, which is rooted in the Greek word ""klima"", meaning inclination, latitude, from ""klinein"" ‘to slope’. Relates to the supposed slope or ladder from equator to poles."
I always brush my teeth before going to bed. 	Siempre me cepillo los dientes antes de ir a la cama.	"
**Siempre**: Adverb; meaning ""always"". It's from the Latin word ""semper.""

**Me**: Personal pronoun; Used here as a reflexive pronoun indicating that the action is something one does to oneself.

**Cepillo**: Verb, 1st person singular present; meaning ""I brush""; root ""Cepillar"", derived from the word ""cepillo"" (brush)

**Los**: Definite article; masculine plural form of ""the""; from the Latin ""illos"".

**Dientes**: Noun; masculine plural; referring to ""teeth."" It comes from the Latin word ""dens.""

**Antes de**: Preposition; meaning ""before"". It's a combination of ""Antes"" (from Latin ""ante"") and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Ir**: Verb; meaning ""to go""; from Latin ""ire"".

**La**: Definite article; feminine singular form of ""the"" coming from the Latin word ""illa"".

**Cama**: Noun; feminine singular; referring to ""bed"". It's derived from the Latin word ""cama""."
I am going to the store after lunch.	Voy a la tienda después del almuerzo.	"
**Voy**: Verb, 1st person singular present; meaning ""I go""; root ""Ir"", with irregular Spanish verb etymology.

**A**: Preposition; meaning ""to""; from Latin ""ad"".

**La**: Article, feminine; ""the""; from Latin ""illa"".

**Tienda**: Noun, feminine; meaning ""store""; from Latin ""tendere"" which means ""to extend"", as in a stall or market.

**Después de**: Preposition; meaning ""after""; derived from Latin ""de ex post"", meaning ""from what is after"".

**Del**: Contration, which consists of ""De' (from) and ""el"" (masc. ""the"").

**Almuerzo**: Noun, masculine; ""Lunch""; originally from Latin it meant ""bite"" (morsel during the midday, it ended up designating a light meal that was taken in essence at that time of the day. Morsus)."
First, finish your vegetables, then, you can have dessert.	Primero, termina tus verduras, luego, puedes tener postre.	"
**Primero**: Adjective; meaning ""first""; from Latin ""primus,"" superlative of ""prior,"" which means ""before.""

**Termina**: Verb, 2nd person singular imperative; meaning ""finish"" (in the context of finishing a task like eating); root ""Terminar;"" from Latin ""terminare,"" meaning to ""end,"" or ""terminate.""

**Tus**: Determiner; plural of ""tu,"" meaning ""your"" (informal); from Latin ""tū""

**Verduras**: Noun, feminine plural; meaning ""vegetables""; from ""verde"" meaning ""green""

**Luego**: Adverb (used here as conjunction); meaning ""then"" or ""next""; from Latin ""lŭcuo ""

**Puedes**: Verb, 2nd person singular present form of ""poder""; meaning ""you can""; root ""Poder,"" from Latin ""pŏtis"", meaning ""can"" or ""able to.""

**Tener**: Verb; meaning ""to have""; from Latin ""tenēre."" Used here in infinitive form to express possession of noun following.

**Postre**: Noun, masculine singular; meaning ""dessert""; from Post + Latin ""der"" which means following. The dinner portion that is served last."
First, we finish homework then we play videogames.	Primero, terminamos la tarea y luego jugamos videojuegos.	"
**Primero**: Adverb; meaning ""first"" or ""before any others"", frequently used to give order to actions or events; from Latin ""primarius.""

**Terminamos**: Verb, 1st person plural present; meaning ""we finish""; root ""Terminar,"" derived from Latin ""terminus"" meaning ""end.""

**La**: The definite Article in feminine singular; meaning ""the;"" Spanish articles agree in gender and number with the nouns they modify.

**Tarea**: Noun, feminine; meaning ""task"" or ""homework""; from Old Spanish ""tarja,"" a mark or boundary make in reference to assigned work.

**Y**: Conjunction; meaning ""and;"" used to link words of the same part of speech, clauses, or sentences that are to be taken jointly.

**Luego**: Adverb; meaning ""then"" or ""later""; used to describe something happening after a certain point in time; from Latin ""locum"" meaning ""location.""

**Jugamos**: Verb, 1st person plural present; meaning ""we play""; root ""Jugar,"" possibly from Vulgar Latin ""iúcare,"" from Latin ""iocus"" meaning ""joke, game."" It’s primarily used to express playing games, sports, or tricks. 

**Videojuegos**: Noun, masculine; meaning ""videogames""; it's a Spanish contraction (video: ""video, visual"" + juegos: ""games"") reflecting the invention of video games in the later 20th Century."
First, I wash my hands, then I prepare the food.	Primero, lavo mis manos, luego preparo la comida.	"
**Primero**: Adverb; meaning 'first'; from the Latin term 'primarius', indicates the initial order in a sequence. 

**Lavo**: Verb, 1st person singular present; meaning 'I wash'; root verb 'lavar', derived from the Latin ""lavare.""

**Mis**: Possessive Adjective; meaning 'my'; matches plural Spanish nouns in relation to ownership or possession.

**Manos**: Noun, feminine, plural; meaning 'hands'; from the Latin 'manus'.

**Luego**: Conjunction/Adverb; meaning 'then'; used to indicate sequence, it originated from late Latin 'locum', 'place', as in 'the place that comes after'.

**Preparo**: Verb, 1st person singular present; meaning 'I prepare'; root verb 'preparar' comes from Latin praeparare, from prae- 'before' + parare ‘make ready’.

**Comida**: Noun, feminine; the meaning 'food'; from Latin 'comida' which means 'meal', it's a noun form of nonprofit verb 'comer' (to eat)."
I will first finish cleaning, then I will go out.	Primero terminaré de limpiar, luego saldré.	"
**Primero**: Adverb; meaning ""first""; from Latin ""primarius,"" derivative of ""primus,"" meaning ""first.""

**Terminaré**: Verb, 1st person singular future; meaning ""I will finish""; root verb is ""Terminar,"" from Latin ""terminare,"" meaning ""to limit, end.""

**De**: Preposition; meaning ""of""; from Latin ""de,"" indicating origin, separation, or derivation.

**Limpiar**: Verb; meaning ""to clean""; from Latin ""limpidus,"" meaning ""clear.""

**Luego**: Adverb; meaning ""then"", ""later""; from Latin ""locum,"" meaning ""place.""

**Saliré**: Verb, 1st person singular future; meaning ""I will go out"", root verb is ""Salir,"" which evolved from Latin ""salire,"" meaning ""to jump,"" but in Spanish it acquired the additional meaning of ""to leave"" or ""to go out."""
After eating, I will wash the dishes.	Después de comer, lavaré los platos.	"
**Después de**: Preposition; meaning ""after""; it consists of ""Después"" which is a Spanish adverb transcribing of ""in subsequent manner or time"" from Latin ""de ex post"" and the Spanish preposition ""de.""

**Comer**: Verb, infinitive; meaning ""to eat""; root ""Comer,"" from Latin ""comedere,"" which means ""eat up, consume.""

**Lavaré**: Verb, 1st person singular future; meaning ""I will wash""; root verb is ""Lavar,"" derived from Latin ""lavare,"" which implies ""to wash or bathe.""

**Los Platos**: Noun, masculine plurals; meaning ""the dishes""; ""Platos"" comes from Latin 'Plattus' which originally meant ""flat, broad""."
After washing my hands, I will eat.	Después de lavar mis manos, voy a comer.	"
**Después de**: Preposition; meaning ""after""; Combination of ""Después"" (from Late Latin ""de ex post"" - ""of that (which comes) next"") indicating succession in time or place, and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Lavar**: Verb; Meaning ""to wash""; Root ""Lavar,"" from Latin ""lavare"" signifying the action of removing dirt, either metaphorically as in purify or literally as in rinse or clean.

**Mis**: Adjective; Meaning ""my""; Plural form of ""mi"", from Latin ""meus,"" indicating possession or belonging.

**Manos**: Noun, Feminine plural; Meaning ""hands;"" from Latin ""manus,"" referring to the body part constituting the end of each arm.

**Voy a**: Verb; ""I am going to""; A commonly utilized structure to indicate future or intent, this phrase is made by conjugating the verb ""Ir"" (to go) with the appropriate personal pronoun (in this case, ""yo"" - I), followed by ""a"" (to). The infinitive form of the main action verb follows immediately after.

**Comer**: Verb, infinitive; meaning ""to eat""; Root verb ""Comer"", derived from Latin ""comedere"", meaning to eat or consume. In the ""Voy a"" structure, the verb is in the infinitive and indicates a future action Single sentences preferable."
After reading every night, I usually know new words.	Después de leer todas las noches, generalmente conozco palabras nuevas.	"
**Después de**: Preposition; meaning ""after""; combination of ""Después"" (from Latin ""depost"" meaning ""next"") and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Leer**: Verb; meaning ""to read""; from Latin ""legere."" 

**Todas las noches**: Phrase; meaning ""every night; female(Spanish specifically considere the categoty of time as a femal). ""Todas"" is the feminine plural form of the adjective ""Todo"" (meaning ""all"" or ""every"", derived from old Castilian which eventually settled as modern Spanish ""todo""), ""las"" is the feminine plural article ""the"", and ""noches"" is the feminine plural noun form of ""night"", from Latin ""noctem"".

**Generalmente**: Adverb; meaning ""usually""; from Latin ""generalis,"" meaning common, general.

**Conozco**: Verb, 1st person singular present; meaning ""I know""; root ""Conocer,"" from Latin ""cognoscere"". This verb has the peculiarity to mean ""I know"" but also ""I meet"", depending the context. 

**Palabras**: Noun, feminine plural; meaning ""words""; from Latin ""parabola,"" originally meaning comparison, later story or speech.

**Nuevas**: Adjective, feminine plural; meaning ""new""; from Latin ""novus."" This is the new developments or introductions to something already existing. Change add noorthodoxy to it without alternating the forma or structure. Spanish specifically chooses the word nueva for describing something novel brought into locus of something preexisting."
After you clean the kitchen, then you can go to the park.	Después de que limpies la cocina, entonces puedes ir al parque.	"
**Después de que**: Preposition + Conjunction; Compound word meaning ""after"" in the context of sequence or order. ""Después"" on its own can denote ""after"" in terms of time or space. Both ""de"" and ""que"" are derived from their Latin equivalents ""de"" and ""qui"".

**Limpies**: Verb, 2nd person singular present subjunctive; meaning ""you clean""; root verb ""limpiar,"" meaning to clean. Like many Spanish words, the root verb ""limpiar"" originates from Latin ""limpiare"" which had a similar meaning - to make bright, to clear.

**La (cocina)**: Article (feminine singular) + Noun (feminine singular) combination; ""La"", a definite singular female article meaning ""the,"" used here before the female noun ""cocina,"" meaning ""kitchen."" Both ""la"" and ""cocina"" stem from Latin ""illa"" and ""coquina"" respectively.

**Entonces**: Adverb; meaning ""then"" as a sequence marker; from Latin ""intunc,"" meaning ""at that time.""

**Puedes**: Verb, 2nd person singular present; meaning ""you can""; from root verb ""poder,"" meaning to be able or can. This word descends from the Latin ""potere"" meaning to be powerful.

**Ir**: Verb, infinitive; meaning ""to go"". Its origin could be tracked back to Latin ""ire"". 

**Al (parque)**: Preposition + Article(masculine singular) + Noun (masculine singular) combination; ""Al""; a contraction of ""a"" (to) and ""El"" (the). ""Parque"" means ""park"", derived from old french ""parc""."
Read the next page after eating dinner.	Lee la página siguiente después de cenar.	"
**Lee**: Verb, 2nd person singular imperative; meaning ""Read""; root ""Leer,"" from Old Spanish ""leer,"" originating from Latin ""lego"" meaning I choose, gather, or cognate “Outdoor Dance” or read.

**La**: Article. Feminine Singular; meaning ""The""; Inherited from Latin ""illa"" 

**Página**: Noun, Feminine; meaning ""page,"" it comes from the Latin word ""pagina"" which also means page.

**Siguiente**: Adjective; meaning ""next,"" derived from the verb ""seguir,"" meaning to follow 

**Después de**: Preposition; meaning ""after;"" a combination of ""Después"" (from Old Spanish ""despues,"" from ""de-"" (from Latin ""de-"", meaning ""of"") and ""pues"" (from Latin ""post,"" meaning ""after/behind"")"") and ""de"" (from Latin ""de:"", meaning ""of/from"")

**Cenar**: Verb; meaning ""to have dinner,"" from Late Latin ""cenare,"" which means to dine.  The action of having the main meal of the day, now referred at nighttime, but it's specified as it varies in different cultures."
You must put on your coat before going outside.  	Debes ponerte el abrigo antes de salir afuera.	"
**Debes**: Verb, 2nd person singular present; meaning ""you must"" or ""you should"". The root word is ""Deber"", which means ""to owe"", ""must"", ""should"", or ""ought to"". It is derived from Latin ""Debēre"".
  
**Ponerte**: Verb (put on), reflexive variant; 2nd person singular. It is formed using the infinitive verb ""poner"" (to put/place) and the reflexive pronoun ""te"". Hence, it specifically means ""you put on"". Derived from Latin “pōnere”.  

**El**: Article, singular, masculine; ""the"" in English; from Latin ""ille"". 

**Abrigo**: Noun, singular, masculine; meaning ""coat"". This word originates from the Spanish verb ""abrigar"" that indicates ""to cover"" or ""to shelter"". 

**Antes de**: Preposition; meaning ""before""; combination of ""Antes"" (from Latin ""ante"") and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Salir**: Verb; meaning ""to leave"" or ""to go out"". Comes from Latin word ""salire"" which means ""to jump"", but its meaning evolved over time in the Spanish language.

**Afuera**: Adverb; meaning ""outside"". Its etymology traces back to the Latin ""ad forās"", meaning ""toward the doors""."
Never skip washing dishes after dining.	Nunca te saltes lavar los platos después de cenar.	"
**Nunca**: Adverb; meaning ""never""; it serves to negate the occurrence of the action verbally expressed; derived from Latin word ""nunc,"" meaning ""now.""

**Te**: Personal Pronoun; Indirect Object Pronoun; meaning ""you"" when referring to the other party in a conversation; word origin from Old Spanish ""te.""

**Saltes**: Verb, informal command form (singular); meaning ""skip/do not do""; this is the second person singular imperative form of ""saltar,"" the root word being ""saltar"" which originally implies the physical.jump, but here, it applies metaphorically to mean 'avoid' or 'skip.'

**Lavar**: Verb;  the verb is a regular -ar verb derived from the Latin verb ""lavare."" meaning ""wash.""

**Los Platos**: Noun, plural masculine; meaning ""dishes,"" it is made up of ""los,"" meaning ""the,"" and ""platos,"" meaning plates together are symbolically representative of the dishes.

**Después de**: Preposition; meaning ""after""; this phrase indicates temporal succession of one action belng completed after the other.

**Cenar**: Verb; meaning ""to dine"". It comes from the Latin noun ""cena,"" which was the main meal of the day. Appears as the infinite following the preposition 'de.'."
First, wash your hands, then put on your mask.	Primero, lávate las manos, luego pon tu máscara.	"
**Primero**: Adverb; meaning ""first""; from Latin ""primarius,"" which means primary or first in order.

**Lávate**: Verb (Imperative Mood), 2nd person singular; reflexive construction of the verb ""lavar"" (to wash). Root is ""Lavar""; comes from Latin ""lavare.""

**Las**: Article; feminine plural of the definite article ""la,” meaning ""the""; from Latin ""illa,"" a demonstrative pronoun meaning ""that.""

**Manos**: Noun; feminine plural of ""mano,"" meaning ""hands""; from Latin ""manus.""

**Luego**: Adverb; meaning ""then""; derived from Latin ""locum,"" which refers to place or location, and evolved semantically to denote order in time.

**Pon**: Verb (Imperative Mood), 2nd person singular; from the verb ""poner"" meaning ""to put."" It commands the listener to do the action; derived from Latin ""ponere.""

**Tu**: Adjective (Possessive); meaning ""your""; from the Latin ""tuus, -a, -um.""

**Máscara**: Noun; feminine singular. Meaning ""mask""; from Latin ""masca"" (mask, nightmare, ghost). Its use was generalized significantly during the European plagues in the 17th century, where doctors used long beaklike masks."
The next day, after lunch, she called.	Al día siguiente, después del almuerzo, ella llamó.	"
**Al día siguiente**: Time phrase inclusive of article, noun, and adverb,; corresponds to ""the next day"". Phrase comprised of ""Al"" (combination of ""a,"" preposition meaning ""to"" and ""el,"" the [masculine] definite article), ""día"" (masculine noun meaning ""day""), and ""siguiente"" (adjective or adverb describes something that follows or comes after, derived from the verb ""seguir,"" to follow).

**Después del**: Compound preposition; means ""after the"". Phrase comprised of ""Después"" (adverb or preposition, from late Latin ""de ex post,"" meaning ""after"") and ""del"" (apocopated form of the preposition ""de el"": ""of the"").

**Almuerzo**: Noun, masculine; signifies lunch. Typically the most substantial meal of the day in Spanish-speaking countries, consumed around midday or early afternoon. 

**Ella**: Personal pronoun; translates to ""she"", referring to the subject.

**Llamó**: Verb, 3rd person singular, simple past tense; means ""she called"". Derived from the infinitive verb ""llamar"", which comes from Latin ""clamare"", meaning to shout or call out. The simple past tense typically indicates an action completed at a fixed point in the past."
First, listen to the music, then dance.	Primero, escucha la música, luego baila.	"
**Primero:** Adjective/Adverb; meaning ""first."" When first starts a sentence or a clause, it is usually translated as ""primero."" 

**Escucha:** Verb, 3rd person singular imperative or 2nd person singular present; meaning ""Listen""; root ""Escuchar,"" likely from Eschalder/Excoltare, vulgar Latin words that derive from Latin for ""inspect"" or ""explore.”

**La:** Article; feminine singular; meaning ""the"".

**Música:** Noun; feminine singular; meaning ""music""; from Latin ""musica.""

**Luego:** Adverb; meaning ""then"" or ""later"", indicates logic order or time order; from Latin ""lūcō."" 

**Baila:** Verb, 3rd person singular imperative or 2nd person singular present,; meaning ""Dance.""; Root verb: bailar, from Late Latin ""bāllāre,"" meaning ""to dance,"" which is where English gets word ""ballet."""
